id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
1011000,1,Alabama,AL,Mobile County,Chickasaw,Chickasaw city,City,place,36611,251,10894952,909156,30.77145,-88.079697,38773,30506,33101,1638.26051309172
1011010,1,Alabama,AL,Barbour County,Louisville,Clio city,City,place,36048,334,26070325,23254,31.708516,-85.611039,37725,19528,43789,258.017684685483
1011020,1,Alabama,AL,Shelby County,Columbiana,Columbiana city,City,place,35051,205,44835274,261034,33.191452,-86.615618,54606,31930,57348,926.030999750251
1011030,1,Alabama,AL,Mobile County,Satsuma,Creola city,City,place,36572,251,36878729,2374530,30.874343,-88.009442,63919,52814,47707,378.11461910293
1011040,1,Alabama,AL,Mobile County,Dauphin Island,Dauphin Island,Town,place,36528,251,16204185,413605152,30.250913,-88.171268,77948,67225,54270,282.320327843928
1011050,1,Alabama,AL,Cullman County,Cullman,Dodge City,Town,place,35057,256,8913021,26837,34.045414,-86.88267,50715,42643,35886,173.325958599703
1011060,1,Alabama,AL,Escambia County,East Brewton,East Brewton city,City,place,36426,251,8826252,91015,31.09144,-87.055345,33737,23610,28256,758.771322372054
1011070,1,Alabama,AL,Elmore County,Coosada,Elmore,Town,place,36020,334,10222339,176500,32.544337,-86.336446,46319,40242,38941,397.052564239374
1011080,1,Alabama,AL,Morgan County,Eva,Eva,Town,place,35621,256,10544874,78981,34.326504,-86.765318,57994,39591,47235,137.496038515582
1011090,1,Alabama,AL,Talladega County,Sylacauga,Fayetteville,CDP,place,35151,256,45178321,6034534,33.168097,-86.442774,54807,41712,51359,380.728238095448
1011100,1,Alabama,AL,DeKalb County,Rainsville,Fort Payne city,City,place,35986,256,145527967,924063,34.457329,-85.689447,47929,38947,44430,3621.63031898417
1011110,1,Alabama,AL,Etowah County,Gadsden,Gadsden city,City,place,35901,256,96637272,3060329,34.009563,-86.015643,42251,28811,41397,10716.1392370522
1011120,1,Alabama,AL,Butler County,Georgiana,Georgiana,Town,place,36033,334,16154540,0,31.639134,-86.746762,27993,19757,27656,553.438214146472
1011130,1,Alabama,AL,Coosa County,Rockford,Goodwater,Town,place,35136,256,16819854,75870,33.060835,-86.052333,31229,22745,27452,528.084884689552
1011140,1,Alabama,AL,Hale County,Greensboro,Greensboro city,City,place,36744,334,6156793,24951,32.700968,-87.5937,36439,21136,45043,775.252484592484
